id,name,assoc_names,original_langauge,authors,genres,tags,start_year,licensed,original_publisher,english_publisher,complete_original,chapters_original_current,complete_translated,chapter_latest_translated,release_freq,activity_week_rank,activity_month_rank,activity_all_time_rank,on_reading_lists,reading_list_month_rank,reading_list_all_time_rank,rating,rating_votes,related_series_ids,recommended_series_ids,recommendation_list_ids
2765,A Record of a Mortal’s Journey to Immortality,"['Fan Ren Xiu Xian Chuan', 'Phàm Nhân Tu Tiên', 'RMJI', '凡人修仙传']",chinese,"['wang yu', '忘语']","['action', 'adventure', 'martial arts', 'xianxia']","['alchemy', 'androgynous characters', 'appearance different from actual age', 'artifacts', 'average-looking protagonist', 'beast companions', 'beautiful female lead', 'body tempering', 'calm protagonist', 'cautious protagonist', 'character growth', 'clever protagonist', 'crafting', 'cultivation', 'dao companion', 'dao comprehension', 'demons', 'doctors', 'dragons', 'eidetic memory', 'eye powers', 'hard-working protagonist', 'heavenly tribulation', 'hiding true abilities', 'immortals', 'kidnappings', 'loner protagonist', 'long separations', 'lucky protagonist', 'magic formations', 'male protagonist', 'marriage', 'mature protagonist', 'multiple realms', 'multiple reincarnated individuals', 'older love interests', 'phoenixes', 'pill based cultivation', 'pill concocting', 'pragmatic protagonist', 'protagonist with multiple bodies', 'puppeteers', 'r*pe victim becomes lover', 'romantic subplot', 'ruthless protagonist', 'schemes and conspiracies', 'secretive protagonist', 'slow growth at start', 'soul power', 'souls', 'spirit advisor', 'strength-based social hierarchy', 'sword wielder', 'time skip', 'timid protagonist', 'unique cultivation technique', 'wars', 'weak to strong']",2008,True,qidian,wuxiaworld,True,2446 chapters,False,c1460,0.5,52,57,82,8903,54,189,4.0,645,"[180, 4745]","[15, 180, 181, 5844, 364, 4052]","[7562, 7503, 6922, 6837, 6333]"
9120,A Round Trip To Love,"['双程 1 - 归途 Long Way Home', '双程 2 - 殊途 Separate Routes', '双程 3 - 如果 If Only']",chinese,"['lan lin', '藍淋']","['adult', 'drama', 'romance', 'tragedy', 'yaoi']","['adapted to movie', 'incest', 'long separations', 'r*pe', 's*xual abuse']",2016,,,,True,6 volumes,False,v4 prologue,1.7,1182,1440,3292,794,2213,3419,3.6,33,"[1611, 17765, 25382]","[540, 11330, 10025, 13034, 606, 1916]","[9485, 8501]"
17893,Addicted Pampering You: The Mysterious Pampered Wife of The Military Ye,['宠你上瘾：军爷的神秘娇妻'],chinese,"['jiu mo li', '久陌离']","['action', 'drama', 'josei', 'romance']","['arranged marriage', 'beautiful female lead', 'cold protagonist', 'female protagonist', 'love interest falls in love first', 'military', 'modern day', 'power couple', 'strong love interests', 'wealthy characters']",,,xxsy,,True,586 chapters,False,c100,7.8,1926,1439,1374,2271,2568,1701,3.5,82,,"[3587, 21070, 15971, 18337, 10672, 10904]","[8861, 8369, 8188, 7777, 6719]"
14,Against the Gods,"['ATG', 'Heaven-Defying Evil God', 'Nghịch Thiên Tà Thần', 'Ni Tian Xie Shen', '逆天邪神']",chinese,"['mars gravity', '火星引力']","['action', 'adventure', 'ecchi', 'fantasy', 'harem', 'martial arts', 'mature', 'xuanhuan']","['adapted to manhua', 'adopted protagonist', 'arranged marriage', 'arrogant characters', 'artifacts', 'beautiful female lead', 'betrayal', 'bloodlines', 'body tempering', 'charismatic protagonist', 'childhood friends', 'cruel characters', 'cultivation', 'cunning protagonist', 'death', 'death of loved ones', 'demi-humans', 'demons', 'depictions of cruelty', 'determined protagonist', 'distrustful protagonist', 'divorce', 'dragons', 'elves', 'enemies become allies', 'enemies become lovers', 'fast cultivation', 'female master', 'first-time intercourse', 'friends become enemies', 'gods', 'handsome male lead', 'hard-working protagonist', 'harem-seeking protagonist', 'hated protagonist', 'heavenly tribulation', 'inheritance', 'kuudere', 'loli', 'long separations', 'lucky protagonist', 'magical space', 'male protagonist', 'manipulative characters', 'marriage', 'master-disciple relationship', 'master-servant relationship', 'medical knowledge', 'multiple realms', 'multiple reincarnated individuals', 'mythical beasts', 'older love interests', 'past plays a big role', 'perverted protagonist', 'phoenixes', 'pill concocting', 'playful protagonist', 'polygamy', 'possessive characters', 'power couple', 'pregnancy', 'previous life talent', 'racism', 'r*pe victim becomes lover', 'reincarnation', 'resurrection', 'revenge', 'reverse r*pe', 'romantic subplot', 'r*pe', 'ruthless protagonist', 'saving the world', 'schemes and conspiracies', 'second chance', 'sentient objects', 'shameless protagonist', 'sharp-tongued characters', 'soul power', 'spirit advisor', 'spirits', 'strong love interests', 'student-teacher relationship', 'sword wielder', 'threesome', 'time skip', 'time travel', 'torture', 'tragic past', 'tsundere', 'underestimated protagonist', 'wars', 'weak to strong', 'younger love interests']",2014,True,zongheng,wuxiaworld,False,1728 chapters,False,c1696,0.9,8,9,5,21349,7,6,3.9,3255,,"[10, 2072, 6363, 179, 791, 4010]","[9377, 9018, 8890, 8884, 8192]"
10802,Age of Adepts,"['AoA', '巫师纪元']",chinese,"['zhen de lao lang', '真的老狼']","['action', 'adventure', 'fantasy', 'harem', 'horror', 'mature', 'mystery', 'seinen', 'supernatural', 'tragedy', 'xuanhuan']","['appearance changes', 'artifacts', 'beautiful female lead', 'biochip', 'bloodlines', 'cautious protagonist', 'clan building', 'dark', 'depictions of cruelty', 'determined protagonist', 'elemental magic', 'fantasy world', 'game elements', 'gods', 'golems', 'gore', 'handsome male lead', 'hidden abilities', 'hiding true abilities', 'human experimentation', 'magic', 'male protagonist', 'monsters', 'multiple realms', 'polygamy', 'romantic subplot', 'ruthless protagonist', 'secretive protagonist', 'souls', 'strength-based social hierarchy', 'strong love interests', 'time skip', 'transmigration', 'transported to another world', 'underestimated protagonist', 'vampires', 'weak to strong', 'wizards']",2016,True,17k,gravity tales,True,1512 chapters,False,c1147,1.0,58,79,108,6917,78,342,3.8,491,,"[4052, 10449, 2717, 9421, 21237, 11115]","[8850, 8109, 7396, 6266, 4650]"
26588,Almighty Sword Domain,"['Invincible Sword Realm', '无敌剑域']",chinese,"['on azure phoenix peak', '青鸾峰上']","['action', 'comedy', 'harem', 'mystery', 'xuanhuan']","['arrogant characters', 'beast companions', 'body tempering', 'cultivation', 'demons', 'honest protagonist', 'magical space', 'male protagonist', 'monster tamer', 'multiple realms', 'polygamy', 'pregnancy', 'r*pe victim becomes lover', 'reverse r*pe', 'romantic subplot', 'r*pe', 'ruthless protagonist', 'stubborn protagonist', 'sword wielder', 'weak to strong']",2015,True,zongheng,wuxiaworld,True,2795 chapters,False,c365,0.5,235,201,1221,608,179,3913,2.9,52,[21904],,[7562]
13375,An A-Ranked Adventurer’s “Slow-living”,"['A-Rank Boukensha no Slow Life', 'Ａランク冒険者のスローライフ']",japanese,"['renkinou', '錬金王']","['adult', 'adventure', 'fantasy', 'mature', 'romance', 'seinen', 'slice of life']","['adapted to manga', 'adventurers', 'beautiful female lead', 'c*nnilingus', 'cooking', 'dense protagonist', 'dragons', 'easy going life', 'farming', 'first-time intercourse', 'f*llatio', 'former hero', 'heartwarming', 'hiding true abilities', 'hiding true identity', 'h*ndjob', 'kind love interests', 'love interest falls in love first', 'love triangles', 'male protagonist', 'marriage', 'multiple pov', 'paizuri', 'protagonist strong from the start', 'r-18', 'shy characters', 'sword and magic']",2017,False,frontier works,,False,3 volumes,False,c76,7.9,179,248,358,9488,274,162,4.2,283,,"[15640, 5546, 7548, 17533, 7358, 16993]","[9015, 8456, 8019, 8010, 7702]"
29256,"An S-ranked Party’s Burden Tamer, I Awoke My True Power by Having My Familiar Killed ~The Exiled Tamer is Actually the Only Necromancer in the World. Unknowingly Becoming the Strongest While Enjoying this Excess Power~","['S-Rank party’s luggage tamer, after having his familiar killed awakens to his true power ~ The banished tamer is actually the world’s only necromancer. After freely enjoying his powers he suddenly becomes the strongest with the surplus power', 'Sランクパーティーのお荷物テイマー、使い魔を殺されて真の力に目覚める\u3000〜追放されたテイマーは実は世界唯一のネクロマンサーでした。ありあまるその力で自由を謳歌していたらいつの間にか最強に〜']",japanese,"['skyform', 'すかいふぁーむ']","['adventure', 'fantasy', 'romance', 'shounen']","['betrayal', 'familiars', 'male protagonist', 'monster tamer', 'necromancer', 'skill assimilation', 'vampires', 'weak to strong']",2020,False,syosetu,,False,,False,c15,2.2,467,311,3072,646,435,3804,3.3,39,,"[24404, 22267]",
30064,Asteroid,['小行星'],chinese,"['wei feng ji xv', '微风几许']","['comedy', 'drama', 'romance', 'shounen ai', 'yaoi']","['amnesia', 'showbiz']",2019,,jjwxc,,False,87 chapters,False,c8,1.4,795,713,4825,253,2581,5258,3.7,10,,,"[9139, 8351, 5537]"
4108,Atelier Tanaka,"['Atelier Tanaka - Age = Years Without a Girlfriend', 'Tanaka no Atelier ~ Nenrei Ikōru Kanojo Inai Reki no Renkinjutsu-shi ~', 'Tanaka The Wizard', 'Tanaka ~ Nenrei Ikōru Kanojo Inai Reki no Mahōtsukai ~', '田中~年齢イコール彼女いない歴の魔法使い~', '田中のアトリエ\u3000～年齢イコール彼女いない歴の錬金術師～']",japanese,"['buncololi', 'ぶんころり']","['action', 'adult', 'adventure', 'comedy', 'drama', 'fantasy', 'harem', 'mature', 'romance', 'seinen']","['academy', 'adapted to manga', 'adventurers', 'alchemy', 'aristocracy', 'cheats', 'dense protagonist', 'dragons', 'elves', 'game elements', 'guilds', 'healers', 'hiding true abilities', 'level system', 'loli', 'maids', 'male protagonist', 'misunderstandings', 'monsters', 'multiple pov', 'netori', 'nobles', 'overpowered protagonist', 'perverted protagonist', 'r-18', 'reincarnated in another world', 'special abilities', 'sword and magic', 'ugly protagonist']",2014,False,micro magazine,,True,158 chapters,False,v5c2 part2,6.5,329,287,241,8876,336,192,3.3,644,,"[10308, 11787, 15703, 15709, 15672, 21155]","[9818, 8456, 8408, 3138, 1486]"
30318,Being Raised as a Baby by the Movie Queen,['穿成影后养的崽'],chinese,['留史楚韵'],"['comedy', 'shoujo ai', 'slice of life']","['child protagonist', 'childcare', 'childish protagonist', 'cold love interests', 'coma', 'cute children', 'cute protagonist', 'cute story', 'doting love interests', 'doting older siblings', 'doting parents', 'famous parents', 'female protagonist', 'gamers', 'hiding true identity', 'popular love interests', 'transmigration', 'virtual reality']",2020,,jjwxc,,False,31 chapters,False,c4,1.3,2000,879,5137,189,2303,5651,3.8,13,,"[30232, 29934, 30238]",
30543,"Believe It Or Not, I Already Caught You",['信不信我收了你'],chinese,"['grumpy crab', '暴躁的螃蟹']","['drama', 'romance', 'school life', 'shoujo', 'supernatural']","['exorcism', 'female protagonist', 'handsome male lead', 'tomboyish female lead']",2018,,jjwxc,,True,122 chapters,False,c10,1.2,2000,2000,2000,0,6706,6702,3.0,1,,,
29462,Bix Magic Cube Game World,['比克斯魔方'],chinese,['sisimo'],"['adventure', 'fantasy', 'romance', 'sci-fi', 'shounen ai', 'supernatural']","['game elements', 'handsome male lead', 'master-servant relationship', 'virtual reality', 'weak to strong']",2019,,jjwxc,,True,143 chapters,False,c20,1.4,719,892,4663,294,1547,5054,4.3,16,,[20603],[8740]
29338,Black Lotus Tactics Manual,['黑莲花攻略手册[穿书]'],chinese,"['bai yu zhai diao gong', 'white-feather eagle bow', '白羽摘雕弓']","['adventure', 'fantasy', 'mystery', 'romance']","['ancient china', 'character growth', 'demons', 'female protagonist', 'male yandere', 'misunderstandings', 'possessive characters', 'slow romance', 'weak protagonist']",,,jjwxc,,True,118,False,c11,2.7,1831,1689,4582,299,1690,5029,3.8,12,,,"[6600, 4500, 2225]"
28249,Bloodlines Ablaze,"['Rekka no Ketsuzoku', '烈火の血族']",japanese,['yakou hana'],"['action', 'adult', 'fantasy', 'mystery', 'romance', 'school life', 'yaoi']","['academy', 'aggressive characters', 'arrogant characters', 'battle academy', 'beast companions', 'bloodlines', 'different social status', 'dragons', 'elemental magic', 'european ambience', 'familiars', 'handsome male lead', 'human experimentation', 'investigations', 'love interest falls in love first', 'magic', 'male protagonist', 'manipulative characters', 'military', 'mysterious past', 'mystery solving', 'naive protagonist', 'nobles', 'orphans', 'past plays a big role', 'pets', 'popular love interests', 'r-18', 'schemes and conspiracies', 'senpai-kouhai relationship', 'sharp-tongued characters', 'special abilities', 'sword and magic', 'teachers']",2019,False,taiyou tosho,,False,,False,v1c8 part1,3.9,1871,2213,4740,386,2187,4633,3.9,23,,"[27923, 10732, 20164, 22062]","[9488, 5216, 5146]"
13111,Bone Painting Coroner,['画骨女仵作'],chinese,"['li duo wu', '厘多乌']","['historical', 'josei', 'mature', 'mystery', 'romance']","['adapted to manhua', 'ancient china', 'beautiful female lead', 'calm protagonist', 'clever protagonist', 'crime', 'cross-dressing', 'dark', 'female protagonist', 'gore', 'handsome male lead', 'love interest falls in love first', 'modern knowledge', 'mystery solving', 'politics', 'power couple', 'royalty', 'transmigration']",,True,ireader,volare novels,True,1535 chapters,False,c562,5.5,608,890,403,5485,1405,525,4.3,225,,"[2274, 2085, 9421, 28153, 27467, 18006]","[8861, 8369, 8043, 7903, 7612]"
26013,Can I Become an Adventurer Without Gift?,"['Sainou (Gift) ga Nakute mo Boukensha ni Naremasu ka? ~ Zero kara Hajimaru “Seichou” Cheat ~', '才能（ギフト）がなくても冒険者になれますか？～ゼロから始まる『成長』チート～']",japanese,"['katanakaji', 'かたなかじ']","['action', 'adventure', 'comedy', 'fantasy', 'harem']","['ability steal', 'adventurers', 'angels', 'arrogant characters', 'betrayal', 'calm protagonist', 'cheats', 'cunning protagonist', 'demons', 'depictions of cruelty', 'determined protagonist', 'divine protection', 'fantasy creatures', 'fantasy world', 'game elements', 'goddesses', 'handsome male lead', 'hard-working protagonist', 'kind love interests', 'level system', 'magic', 'magic beasts', 'magical space', 'male protagonist', 'monsters', 'pragmatic protagonist', 'r-15', 'skill assimilation', 'strong love interests', 'strong to stronger', 'sudden strength gain', 'sword and magic', 'weak to strong']",2018,,hobby japan,,False,163 chapters,False,c26,4.4,2314,597,2429,1011,668,3049,3.4,25,,"[26207, 26707]",
28833,Changying the Lady,['贵女长嬴'],chinese,"['fan duo', '繁朵\xa0']","['josei', 'romance']","['ancient times', 'female protagonist', 'kingdoms', 'late romance', 'strategic battles']",2013,True,zongheng,tapread,,,False,c51,0.9,1767,1404,4971,221,2449,5435,2.8,15,,,
27671,Clearing an Isekai with the Zero-Believers Goddess – The Weakest Mage among the Classmates,"['CIZBG', 'Shinja Zero no Megami-sama to Hajimeru Isekai Kouryaku ~Classmate Saijaku no Mahou Tsukai~', 'Weakest Mage', '信者ゼロの女神サマと始める異世界攻略\u3000クラスメイト最弱の魔法使い']",japanese,"['oosaki isle', '大崎アイル']","['action', 'adventure', 'comedy', 'fantasy', 'harem', 'mystery', 'romance', 'supernatural']","['adapted to manga', 'adventurers', 'cheats', 'clever protagonist', 'cunning protagonist', 'death of loved ones', 'demi-humans', 'demons', 'dense protagonist', 'depictions of cruelty', 'determined protagonist', 'disabilities', 'discrimination', 'dragons', 'elemental magic', 'evil gods', 'fairies', 'fallen nobility', 'game elements', 'gamers', 'goblins', 'god-human relationship', 'goddesses', 'gods', 'hard-working protagonist', 'heroes', 'hidden abilities', 'human-nonhuman relationship', 'jack of all trades', 'limited lifespan', 'loner protagonist', 'lost civilizations', 'magic', 'magic beasts', 'male protagonist', 'monster girls', 'monsters', 'multiple pov', 'multiple transported individuals', 'near-death experience', 'nobles', 'r-15', 'religions', 'royalty', 'saints', 'secret relationship', 'skill books', 'slow growth at start', 'slow romance', 'special abilities', 'spirit users', 'spirits', 'strength-based social hierarchy', 'strong love interests', 'sudden strength gain', 'thieves', 'time skip', 'transported to another world', 'underestimated protagonist', 'unique weapon user', 'unique weapons', 'weak protagonist', 'weak to strong']",2018,,syosetu,,False,4 volumes,False,c72,2.3,7,10,761,3747,20,926,4.3,130,,"[26204, 16222, 593, 25724, 4919, 506]","[9806, 9530, 8408, 8199, 7557]"
18935,Cool Goddess Special Agent,['特工酷女神'],chinese,"['jiang xiang', '蒋湘']","['action', 'adventure', 'fantasy', 'harem', 'josei', 'romance', 'supernatural', 'xuanhuan']","['assassins', 'beasts', 'beautiful female lead', 'calm protagonist', 'clever protagonist', 'cold protagonist', 'cultivation', 'cunning protagonist', 'familial love', 'female protagonist', 'handsome male lead', 'love interest falls in love first', 'magic', 'polyandry', 'poor to rich', 'power couple', 'reverse harem', 'ruthless protagonist', 'slow romance', 'transmigration']",2012,False,xxsy,,True,246 chapters,False,c98,6.5,1700,1426,1707,1869,1896,2029,4.1,78,,"[17397, 23800, 8810, 4830, 19330, 8445]",[67]
30540,Counterattack of the Cannon Fodder Chambermaid,['A cannon fodder chambermaid wants a counterattack!'],chinese,"['jia mian de sheng yan', '假面的盛宴']","['drama', 'historical', 'romance']",['reincarnation'],2015,True,,,True,,False,prologue,3.0,2000,2000,2000,0,6705,6701,3.0,1,,,
19342,Dao: Journey to the Top of the Universe,['道'],chinese,"['shi tang bao zi', '食堂包子']","['action', 'adventure', 'fantasy', 'martial arts', 'xuanhuan']","['alchemy', 'cultivation', 'lucky protagonist', 'male protagonist']",2011,True,zongheng,,True,1135 chapters,False,c111,6.0,3777,3949,3406,325,5575,4908,3.9,24,,"[20543, 16188, 20678, 16548]",
28829,"Deceive me, Marry me",['尔虞我嫁'],chinese,"['fan duo', '繁朵\xa0']",['romance'],"['ancient times', 'cute story', 'female protagonist', 'late romance', 'strategic battles']",2016,True,zongheng,tapread,,,False,c51,0.9,1581,1539,5031,264,1617,5203,3.5,13,,,
27806,Demoness’s Art of Vengeance,['魔女打脸攻略'],chinese,"['meditation rock', '冥想石']","['action', 'harem', 'josei', 'romance', 'xianxia']","['arranged marriage', 'arrogant characters', 'beast companions', 'betrayal', 'caring protagonist', 'confident protagonist', 'cultivation', 'death of loved ones', 'demonic cultivation technique', 'determined protagonist', 'doting parents', 'female protagonist', 'magic formations', 'pill based cultivation', 'polyandry', 'protagonist falls in love first', 'revenge', 'reverse harem', 'schemes and conspiracies', 'second chance', 'secretive protagonist', 's*xual cultivation technique', 'slow growth at start', 'sword wielder', 'weak to strong']",,True,17k,wuxiaworld,True,401 chapters,False,c202,0.5,224,188,1344,1151,185,2836,3.6,50,,"[27812, 18935, 9010, 19376, 17387, 28376]","[7179, 4334, 67]"
11864,Destroyer of Ice and Fire,['冰火破坏神'],chinese,"['innocent', '无罪']","['action', 'adventure', 'fantasy', 'school life', 'shounen', 'xuanhuan']","['academy', 'bloodlines', 'comedic undertone', 'determined protagonist', 'dragons', 'elves', 'fast learner', 'friendship', 'hard-working protagonist', 'hot-blooded protagonist', 'magic', 'male protagonist', 'naive protagonist', 'romantic subplot', 'weak to strong']",2013,True,zongheng,volare novels,True,696 chapters,False,c607,0.5,428,402,456,3887,318,884,3.9,150,,"[9421, 6150, 5844, 5, 18006, 28153]","[8928, 8884, 7396, 3797, 3413]"
